login,name,location,repo count
avatarnewyork,Avatar New York,"New York, NY 10013",44
NYTimes,The New York Times,"New York, NY",33
nybooks,The New York Review of Books,"New York, NY",1
UJAFedNY,UJA-Federation of New York,"New York, NY",5
prodigylink,Sheyenne York,"New York, NY",1
MotherNY,Mother New York,"New York, NY",3
NYPL,The New York Public Library,"New York, NY",36
yorkw,York Wang,New Zealand,1
McCannErickson,McCANN New York,"622 Third Avenue, 10017 New York",6
CityOfNewYork,City of New York,New York City,20
